iter	Passed	Remaining
132	10524	147744
133	10603	147655
134	10679	147538
135	10749	147330
136	10813	147051
137	10893	146981
138	10973	146914
139	11045	146741
140	11109	146476
141	11179	146279
142	11258	146205
143	11336	146112
144	11403	145883
145	11448	145384
146	11516	145166
147	11587	145002
148	11669	144963
149	11753	144954
150	11819	144734
151	11890	144562
152	11958	144367
153	12029	144197
154	12110	144158
155	12187	144060
156	12252	143832
157	12318	143611
158	12384	143393
159	12448	143155
160	12512	142926
161	12596	142915
162	12673	142834
163	12739	142615
164	12805	142412
165	12875	142247
166	12947	142109
167	13016	141938
168	13098	141909
169	13181	141895
170	13248	141700
171	13316	141525
172	13382	141332
173	13449	141143
174	13517	140969
175	13594	140884
176	13677	140872
177	13747	140721
178	13811	140511
179	13884	140385
180	13955	140250
181	14022	140069
182	14088	139888
183	14158	139734
184	14244	139751
185	14314	139600
186	14377	139396
187	14443	139211
188	14507	139008
189	14575	138855
190	14641	138670
191	14708	138500
192	14773	138323
193	14844	138188
194	14914	138058
195	14981	137893
196	15053	137773
197	15117	137586
198	15183	137418
199	15249	137247
200	15318	137103
201	15392	137008
202	15458	136845
203	15524	136674
204	15600	136601
205	15667	136441
206	15734	136287
207	15811	136222
208	15882	136099
209	15955	136004
210	16021	135841
211	16094	135741
212	16167	135636
213	16231	135464
214	16295	135287
215	16368	135189
216	16433	135023
217	16497	134855
218	16564	134711
219	16628	134541
220	16695	134396
221	16762	134249
222	16832	134134
223	16919	134144
224	16987	134015
225	17053	133863
226	17118	133703
227	17183	133552
228	17249	133399
229	17319	133284
230	17387	133152
231	17456	133031
232	17522	132888
233	17596	132802
234	17662	132655
235	17727	132503
236	17795	132376
237	17869	132297
238	17946	132231
239	18008	132064
240	18078	131952
241	18149	131843
242	18229	131806
243	18296	131675
244	18362	131538
245	18431	131416
246	18498	131288
247	18566	131161
248	18634	131040
249	18700	130901
250	18762	130739
251	18832	130632
252	18903	130532
253	18971	130410
254	19038	130281
255	19105	130153
256	19174	130044
257	19237	129893
258	19303	129759
259	19373	129651
260	19444	129553
261	19510	129422
262	19580	129321
263	19646	129193
264	19711	129053
265	19782	128956
266	19854	128867
267	19923	128761
268	19987	128617
269	20052	128487
270	20121	128373
271	20184	128230
272	20247	128085
273	20314	127965
274	20381	127847
275	20407	127474
276	20473	127351
277	20539	127227
278	20605	127105
279	20672	126989
280	20736	126853
281	20754	126442
282	20825	126348
283	20901	126292
284	20970	126191
285	21039	126088
286	21105	125973
287	21124	125575
288	21192	125467
289	21258	125354
290	21326	125244
291	21410	125235
292	21485	125171
293	21553	125067
294	21618	124947
295	21683	124824
296	21747	124700
297	21817	124606
298	21894	124554
299	21913	124175
300	21977	124049
301	22053	123995
302	22121	123897
303	22186	123778
304	22250	123656
305	22269	123282
306	22285	122897
307	22353	122800
308	22417	122681
309	22484	122574
310	22550	122470
311	22620	122381
312	22684	122265
313	22748	122148
314	22768	121793
315	22840	121717
316	22913	121648
317	22979	121544
318	23005	121229
319	23074	121139
320	23140	121035
321	23206	120933
322	23273	120833
323	23342	120748
324	23407	120638
325	23473	120537
326	23543	120452
327	23610	120356
328	23677	120259
329	23741	120147
330	23814	120077
331	23835	119754
332	23904	119666
333	23982	119626
334	24001	119290
335	24064	119177
336	24127	119062
337	24147	118736
338	24209	118620
339	24274	118517
340	24339	118412
341	24404	118313
342	24467	118202
343	24486	117876
344	24548	117762
345	24623	117709
346	24696	117647
347	24765	117564
348	24839	117508
349	24866	117227
350	24924	117095
351	24957	116848
352	25020	116738
353	25087	116647
354	25151	116548
355	25218	116458
356	25284	116363
357	25303	116056
358	25320	115740
359	25381	115628
360	25398	115315
361	25462	115215
362	25529	115128
363	25595	115037
364	25661	114949
365	25727	114859
366	25797	114790
367	25867	114717
368	25935	114637
369	26000	114542
370	26064	114444
371	26129	114352
372	26195	114261
373	26220	113994
374	26284	113898
375	26354	113827
376	26407	113686
377	26474	113601
378	26517	113415
379	26581	113323
380	26649	113241
381	26713	113146
382	26784	113084
383	26857	113026
384	26925	112948
385	26989	112852
386	27054	112763
387	27118	112667
388	27183	112577
389	27249	112492
390	27315	112404
391	27385	112338
392	27410	112084
393	27471	111979
394	27537	111891
395	27601	111801
396	27669	111724
397	27734	111634
398	27807	111577
